Tipo da Entrada;Nome do Algoritmo;Tamanho da Entrada;Tempo de Execucao(ms);Tempo CPU(ms); Trocas; Comparacoes
2_0;Quick Sort;80;0.015000;0.014000;3160;3160
2_0;Shell Sort;80;0.001000;0.001000;0;402
3_0;Insertion Sort;80;0.012000;0.009000;0;3160
3_0;Selection Sort;80;0.008000;0.008000;40;3160
3_0;Merge Sort;80;0.005000;0.005000;0;240
3_0;Quick Sort;80;0.011000;0.011000;1600;3160
3_0;Shell Sort;80;0.003000;0.002000;224;548
4_47;Insertion Sort;80;0.003400;0.003200;0;1020
4_47;Selection Sort;80;0.008000;0.008000;37;3160
4_47;Merge Sort;80;0.004800;0.004800;0;407
4_47;Quick Sort;80;0.003000;0.003200;364;546
4_47;Shell Sort;80;0.003600;0.003600;275;660
1_0;Insertion Sort;90;0.015000;0.014200;0;2038
1_0;Selection Sort;90;0.011200;0.010800;85;4005
1_0;Merge Sort;90;0.006000;0.006000;0;485
1_0;Quick Sort;90;0.003200;0.003000;328;496
1_0;Shell Sort;90;0.003800;0.003400;285;686
2_0;Insertion Sort;90;0.002000;0.001000;0;89
2_0;Selection Sort;90;0.009000;0.009000;0;4005
2_0;Merge Sort;90;0.005000;0.005000;0;317
2_0;Quick Sort;90;0.018000;0.017000;4005;4005
2_0;Shell Sort;90;0.002000;0.001000;0;454
3_0;Insertion Sort;90;0.012000;0.011000;0;4005
3_0;Selection Sort;90;0.012000;0.011000;45;4005
3_0;Merge Sort;90;0.007000;0.006000;0;275
3_0;Quick Sort;90;0.017000;0.017000;2025;4005
3_0;Shell Sort;90;0.003000;0.003000;237;607
4_51;Insertion Sort;90;0.005800;0.005200;0;1438
4_51;Selection Sort;90;0.009800;0.009600;42;4005
4_51;Merge Sort;90;0.005600;0.005600;0;474
4_51;Quick Sort;90;0.004200;0.004200;391;718
4_51;Shell Sort;90;0.004400;0.004200;304;724
1_0;Insertion Sort;100;0.009600;0.009000;0;2416
1_0;Selection Sort;100;0.014400;0.014400;95;4950
1_0;Merge Sort;100;0.006600;0.006000;0;545
1_0;Quick Sort;100;0.004400;0.004400;354;614
1_0;Shell Sort;100;0.005000;0.004600;389;845
2_0;Insertion Sort;100;0.003000;0.000000;0;99
2_0;Selection Sort;100;0.012000;0.011000;0;4950
2_0;Merge Sort;100;0.006000;0.006000;0;356
2_0;Quick Sort;100;0.022000;0.021000;4950;4950
2_0;Shell Sort;100;0.001000;0.001000;0;503
